epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13387,0.90139,2.95756,1.22682,0.00741,1,0.51791,0.46932,0.4194,2.97224,0.7789,0.0002125,0.0002125,0.0002125
2,12.4627,0.6687,2.43532,1.06688,0.00621,1,0.98731,0.85152,0.49578,2.86095,0.79731,0.000433169,0.000433169,0.000433169
3,15.4361,0.71144,1.80419,1.06896,1,0.18279,0.995,0.89125,0.54131,2.43617,0.83114,0.000649382,0.000649382,0.000649382
4,18.4444,0.67731,1.23641,1.06557,0.92063,0.7689,0.95795,0.82577,0.63767,1.69717,0.91747,0.000861141,0.000861141,0.000861141
5,21.5621,0.64717,1.00563,1.05827,0.97995,0.95215,0.995,0.85089,0.55314,1.50722,0.88366,0.00106844,0.00106844,0.00106844
6,24.9841,0.62417,0.83677,1.03524,0.98872,0.85996,0.995,0.86174,0.54661,1.665,0.82378,0.00118812,0.00118812,0.00118812
7,28.1437,0.62249,0.76977,1.03267,0.91113,0.96117,0.99386,0.87727,0.5738,0.94026,0.8815,0.00117575,0.00117575,0.00117575
8,31.1537,0.62406,0.75465,1.02112,0.96252,0.95114,0.995,0.90456,0.46599,0.6486,0.80756,0.00116337,0.00116337,0.00116337
9,34.05,0.54717,0.69312,0.99355,0.99455,1,0.995,0.90183,0.46146,0.60389,0.81095,0.001151,0.001151,0.001151
10,36.7964,0.53632,0.66571,0.99601,0.92529,0.99144,0.995,0.87971,0.5182,0.82403,0.84645,0.00113863,0.00113863,0.00113863
11,39.7324,0.52885,0.64688,0.99831,0.96496,0.98384,0.99321,0.87268,0.5352,0.85951,0.83016,0.00112625,0.00112625,0.00112625
12,43.1183,0.49507,0.58726,0.97755,0.99457,1,0.995,0.86554,0.54019,0.52646,0.83806,0.00111388,0.00111388,0.00111388
13,46.2213,0.51766,0.59326,0.975,0.98784,1,0.995,0.89238,0.48976,0.51578,0.80898,0.0011015,0.0011015,0.0011015
14,49.4918,0.48286,0.57054,0.96637,0.9959,1,0.995,0.92721,0.37398,0.45031,0.73824,0.00108913,0.00108913,0.00108913
15,52.6236,0.46509,0.54904,0.96725,0.99416,1,0.995,0.90119,0.45894,0.44378,0.75723,0.00107675,0.00107675,0.00107675
16,55.659,0.48814,0.54275,0.98026,0.99563,1,0.995,0.92878,0.36756,0.42344,0.76955,0.00106437,0.00106437,0.00106437
17,58.7621,0.45933,0.55534,0.95809,0.9959,1,0.995,0.92841,0.38638,0.44317,0.77821,0.001052,0.001052,0.001052
18,62.0404,0.45373,0.52137,0.95052,0.99526,1,0.995,0.92431,0.38071,0.44614,0.72438,0.00103962,0.00103962,0.00103962
19,65.1019,0.43294,0.49647,0.94903,0.99576,1,0.995,0.92066,0.36134,0.36103,0.72223,0.00102725,0.00102725,0.00102725
20,68.3121,0.44022,0.49535,0.94927,0.99226,1,0.995,0.88625,0.44184,0.49401,0.78698,0.00101488,0.00101488,0.00101488
21,71.3313,0.42868,0.48125,0.96171,0.99602,1,0.995,0.89755,0.41446,0.44674,0.80537,0.0010025,0.0010025,0.0010025
22,74.4644,0.41523,0.46203,0.9507,0.99627,1,0.995,0.93478,0.35833,0.39878,0.76244,0.000990125,0.000990125,0.000990125
23,77.6806,0.39292,0.43898,0.93505,0.99414,1,0.995,0.9487,0.30509,0.38119,0.73237,0.00097775,0.00097775,0.00097775
24,80.7898,0.39791,0.44486,0.94255,0.98732,1,0.995,0.94502,0.37311,0.42128,0.72042,0.000965375,0.000965375,0.000965375
25,83.7937,0.4029,0.43748,0.92611,0.99639,1,0.995,0.94794,0.33065,0.37642,0.71865,0.000953,0.000953,0.000953
26,87.0182,0.38261,0.41592,0.92027,0.99297,1,0.995,0.95862,0.31424,0.35427,0.70088,0.000940625,0.000940625,0.000940625
27,90.0943,0.39344,0.41741,0.93885,0.99368,1,0.995,0.94365,0.31075,0.33336,0.71311,0.00092825,0.00092825,0.00092825
28,93.5274,0.36784,0.40564,0.93506,0.99616,1,0.995,0.94655,0.32451,0.30948,0.73373,0.000915875,0.000915875,0.000915875
29,96.5662,0.38086,0.39033,0.9325,0.99334,0.99973,0.995,0.93053,0.39586,0.34707,0.74463,0.0009035,0.0009035,0.0009035
