epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2371,0.33747,2.969,0.94838,0.9971,0.14286,0.63195,0.60224,0.2672,2.46633,0.83324,0.000294343,0.000294343,0.000294343
2,17.3356,0.33894,1.86543,0.96215,0.71063,0.83879,0.83357,0.77223,0.38037,1.15501,0.90519,0.000591429,0.000591429,0.000591429
3,23.2357,0.32302,0.91677,0.96515,0.98316,1,0.995,0.93056,0.36012,0.51322,0.92634,0.000882516,0.000882516,0.000882516
4,28.7777,0.34292,0.64723,0.96066,0.98743,1,0.995,0.93192,0.32973,0.47686,0.89667,0.000882003,0.000882003,0.000882003
5,34.3805,0.3289,0.55069,0.96191,0.97185,1,0.995,0.93372,0.31924,0.42138,0.88252,0.000873004,0.000873004,0.000873004
6,40.6221,0.31368,0.48913,0.95752,0.98111,0.9899,0.995,0.93698,0.34031,0.44458,0.90162,0.000864004,0.000864004,0.000864004
7,46.3954,0.31789,0.47447,0.94744,0.9839,0.99794,0.995,0.9484,0.29863,0.34259,0.87194,0.000855005,0.000855005,0.000855005
8,52.3941,0.32324,0.44763,0.93765,0.98143,0.99338,0.995,0.94157,0.30964,0.33794,0.87398,0.000846006,0.000846006,0.000846006
9,57.411,0.3087,0.41899,0.9373,0.99438,1,0.995,0.94672,0.29731,0.32237,0.87117,0.000837007,0.000837007,0.000837007
10,62.5663,0.32395,0.43081,0.954,0.98754,0.99809,0.995,0.94796,0.30663,0.32061,0.8639,0.000828008,0.000828008,0.000828008
11,67.8459,0.31331,0.40282,0.93942,0.99619,1,0.995,0.94449,0.28343,0.28304,0.86209,0.000819009,0.000819009,0.000819009
12,73.459,0.29722,0.38955,0.93265,0.99054,1,0.99483,0.94053,0.31897,0.31422,0.88503,0.00081001,0.00081001,0.00081001
13,78.7511,0.28385,0.37142,0.92613,0.99332,1,0.995,0.9372,0.34524,0.29932,0.90474,0.000801011,0.000801011,0.000801011
14,84.819,0.28701,0.36172,0.93665,0.9885,1,0.995,0.95531,0.2775,0.28948,0.84757,0.000792012,0.000792012,0.000792012
15,90.3023,0.30058,0.36987,0.94178,0.99436,1,0.995,0.94829,0.30176,0.28107,0.85585,0.000783013,0.000783013,0.000783013
16,96.1084,0.29388,0.34766,0.93034,0.9897,1,0.995,0.95137,0.30591,0.28518,0.86584,0.000774013,0.000774013,0.000774013
17,101.51,0.30099,0.35304,0.93301,0.99408,1,0.995,0.9401,0.31608,0.2955,0.88348,0.000765014,0.000765014,0.000765014
18,107.396,0.2821,0.34351,0.9311,0.9946,1,0.995,0.95037,0.30348,0.26944,0.86732,0.000756015,0.000756015,0.000756015
19,112.873,0.29383,0.34244,0.94282,0.99324,1,0.995,0.95342,0.29862,0.2693,0.87074,0.000747016,0.000747016,0.000747016
20,118.105,0.28864,0.33627,0.93296,0.98763,1,0.995,0.94192,0.32852,0.30019,0.89493,0.000738017,0.000738017,0.000738017
21,123.896,0.28113,0.33291,0.92707,0.99516,1,0.995,0.95039,0.26954,0.25823,0.84989,0.000729018,0.000729018,0.000729018
22,129.298,0.28557,0.32537,0.93496,0.99598,1,0.995,0.96297,0.26768,0.24764,0.8438,0.000720019,0.000720019,0.000720019
23,134.797,0.27093,0.31514,0.92913,0.99554,1,0.995,0.96163,0.27024,0.2524,0.86065,0.00071102,0.00071102,0.00071102
24,140.566,0.28058,0.32402,0.92968,0.99591,1,0.995,0.96265,0.25009,0.24425,0.8494,0.000702021,0.000702021,0.000702021
25,145.83,0.28322,0.32651,0.92575,0.993,1,0.995,0.95986,0.26002,0.25608,0.83855,0.000693022,0.000693022,0.000693022
26,150.955,0.27172,0.31422,0.9265,0.99434,1,0.995,0.95879,0.26435,0.2457,0.85057,0.000684022,0.000684022,0.000684022
27,156.648,0.2631,0.30627,0.92186,0.99575,1,0.995,0.95108,0.3028,0.26699,0.87303,0.000675023,0.000675023,0.000675023
